idx,phi_re,phi_im,psi_re,psi_im
58,1.587439,1.100949,-0.569893,0.821719
59,1.609042,1.069129,-0.553422,0.832901
60,1.630007,1.036884,-0.536731,0.843754
61,1.650326,1.004229,-0.519827,0.854272
62,1.669991,0.971175,-0.502717,0.864451
63,1.688994,0.937737,-0.485408,0.874288
64,1.707327,0.903927,-0.467907,0.883778
65,1.724984,0.869758,-0.450220,0.892918
66,1.741957,0.835245,-0.432355,0.901704
67,1.758240,0.800401,-0.414318,0.910132
68,1.773826,0.765240,-0.396117,0.918200
69,1.788709,0.729775,-0.377759,0.925904
70,1.802883,0.694021,-0.359252,0.933241
71,1.816342,0.657992,-0.340602,0.940208
72,1.829081,0.621702,-0.321817,0.946802
73,1.841095,0.585166,-0.302904,0.953021
74,1.852380,0.548398,-0.283872,0.958862
75,1.862930,0.511412,-0.264726,0.964324
76,1.872742,0.474224,-0.245476,0.969403
77,1.881812,0.436848,-0.226129,0.974097
78,1.890135,0.399298,-0.206692,0.978406
79,1.897710,0.361591,-0.187173,0.982327
80,1.904532,0.323740,-0.167580,0.985858
81,1.910600,0.285760,-0.147921,0.988999
82,1.915910,0.247668,-0.128202,0.991748
83,1.920461,0.209477,-0.108433,0.994104
84,1.924251,0.171203,-0.088621,0.996065
85,1.927277,0.132862,-0.068774,0.997632
86,1.929541,0.094468,-0.048900,0.998804
87,1.931039,0.056036,-0.029006,0.999579
88,1.931772,0.017582,-0.009101,0.999959
89,1.931739,-0.020879,0.010808,0.999942
90,1.930940,-0.059332,0.030712,0.999528
91,1.929376,-0.097761,0.050605,0.998719
92,1.927048,-0.136151,0.070477,0.997513
93,1.923956,-0.174487,0.090321,0.995913
94,1.920101,-0.212755,0.110130,0.993917
95,1.915485,-0.250937,0.129895,0.991528
96,1.910109,-0.289021,0.149608,0.988745
97,1.903977,-0.326990,0.169262,0.985571
98,1.897090,-0.364829,0.188849,0.982006
99,1.889451,-0.402524,0.208362,0.978052
100,1.881063,-0.440059,0.227791,0.973710
101,1.871930,-0.477420,0.247131,0.968982
102,1.862054,-0.514591,0.266372,0.963870
103,1.851441,-0.551559,0.285508,0.958376
104,1.840094,-0.588307,0.304530,0.952503
105,1.828017,-0.624823,0.323432,0.946251
106,1.815216,-0.661091,0.342206,0.939625
107,1.801695,-0.697097,0.360844,0.932626
108,1.787461,-0.732827,0.379339,0.925258
109,1.772517,-0.768266,0.397684,0.917523
110,1.756872,-0.803401,0.415871,0.909424
111,1.740529,-0.838217,0.433893,0.900964
112,1.723497,-0.872701,0.451743,0.892148
113,1.705782,-0.906839,0.469415,0.882978
114,1.687391,-0.940618,0.486900,0.873458
