idx,delta_phi_re,delta_phi_im,delta_psi_re,delta_psi_im
218,36.8344,-35.8583,-10.021,-6.79437
219,43.1904,-32.9256,-9.34346,-7.67983
220,48.9342,-29.509,-8.59144,-8.51668
221,54.0212,-25.6714,-7.76931,-9.29812
222,58.4162,-21.4799,-6.88194,-10.0177
223,62.0931,-17.0045,-5.93474,-10.6694
224,65.0351,-12.3171,-4.93356,-11.2475
225,67.2342,-7.49094,-3.88476,-11.7468
226,68.6917,-2.59956,-2.79509,-12.1628
227,69.4173,2.28421,-1.67171,-12.4915
228,69.4291,7.08911,-0.522093,-12.7294
229,68.7534,11.7461,0.645969,-12.8738
230,67.4237,16.1896,1.82447,-12.9227
231,65.4809,20.3576,3.00523,-12.8748
232,62.9721,24.1932,4.17994,-12.7295
233,59.9503,27.6444,5.34025,-12.4869
234,56.4739,30.6653,6.47782,-12.148
235,52.6053,33.2166,7.5844,-11.7145
236,48.4108,35.2657,8.65189,-11.1888
237,43.9595,36.7871,9.67239,-10.5742
238,39.3224,37.763,10.6383,-9.87445
239,34.5718,38.1833,11.5424,-9.09428
240,29.7802,38.0456,12.3778,-8.23892
241,25.0197,37.3552,13.1382,-7.31427
242,20.3606,36.1252,13.8177,-6.32679
243,15.8713,34.3762,14.411,-5.28348
244,11.6171,32.136,14.9135,-4.19183
245,7.65926,29.4393,15.3213,-3.05974
246,4.05472,26.3272,15.6311,-1.89546
247,0.855039,22.8467,15.8404,-0.707524
248,-1.89403,19.0504,15.9474,0.495302
249,-4.15314,14.9953,15.9513,1.70411
250,-5.88985,10.7426,15.8517,2.90992
251,-7.07899,6.3566,15.6495,4.10375
252,-7.70301,1.90408,15.3459,5.2767
253,-7.75217,-2.54652,14.9433,6.42001
254,-7.22473,-6.92602,14.4447,7.52515
255,-6.12699,-11.1653,13.8538,8.58389
256,-4.47319,-15.1964,13.1751,9.58834
257,-2.28549,-18.9528,12.4139,10.5311
258,0.406408,-22.3711,11.5758,11.4051
259,3.56544,-25.3911,10.6674,12.2041
260,23.3657,-77.2747,10.3811,13.0492
261,25.8727,-78.6336,10.1437,13.228
262,27.6764,-79.5147,9.9484,13.3799
263,28.696,-79.9445,9.80184,13.5023
264,28.8851,-79.9516,9.7092,13.5934
265,28.2334,-79.5601,9.67386,13.6516
266,6.86399,-28.1577,9.44477,13.3454
267,5.05309,-26.9885,9.48878,13.4216
268,3.33154,-25.9247,9.50562,13.493
269,1.70505,-24.9568,9.49484,13.5589
270,0.178416,-24.0751,9.45616,13.6188
271,-1.2445,-23.27,9.38944,13.6718
272,-2.56072,-22.5319,9.29472,13.7172
273,-3.7682,-21.8513,9.17219,13.7545
274,-4.86572,-21.2188,9.0222,13.7827
275,-5.85289,-20.6256,8.84524,13.8014
276,-6.73014,-20.0634,8.64195,13.8097
277,-7.49863,-19.5241,8.4131,13.8072
278,-8.16024,-19.0004,8.15962,13.7933
279,-8.71746,-18.4858,7.88253,13.7673
280,-9.17338,-17.9743,7.58299,13.7289
281,-9.53164,-17.4606,7.26226,13.6776
282,-9.79631,-16.9405,6.92171,13.613
283,-9.97188,-16.4102,6.56278,13.5349
284,-10.0632,-15.8672,6.187,13.4429
285,-10.0753,-15.3092,5.79597,13.337
286,-10.0136,-14.7353,5.39136,13.2171
287,-9.88345,-14.1449,4.97487,13.083
288,-9.69047,-13.5385,4.54825,12.9348
289,-9.44024,-12.917,4.11327,12.7727
290,-9.1383,-12.2822,3.67173,12.5968
291,-8.79017,-11.6363,3.22543,12.4073
292,-8.4012,-10.9822,2.77617,12.2046
293,-7.97663,-10.3231,2.32573,11.9891
294,-7.52145,-9.66281,1.87588,11.7612
295,-7.04047,-9.0052,1.42836,11.5213
296,-6.5382,-8.35455,0.984873,11.27
297,-6.01889,-7.71525,0.547069,11.008
298,-5.48648,-7.09178,0.116552,10.7359
299,-4.94459,-6.48864,-0.305135,10.4544
300,-4.39654,-5.91023,-0.716513,10.1642
301,-3.8453,-5.36083,-1.11618,9.86611
302,-3.29352,-4.84447,-1.5028,9.5609
303,-2.74355,-4.36495,-1.87512,9.24942
304,-2.19739,-3.92568,-2.23198,8.93251
