x,y,psi2
-19.8997,-8.17726,0.222847
-19.8997,-8.07692,0.240063
-19.8997,-7.97659,0.254942
-19.8997,-7.87625,0.267096
-19.8997,-7.77592,0.275915
-19.8997,-7.67559,0.281127
-19.8997,-7.57525,0.282477
-19.8997,-7.47492,0.279839
-19.8997,-7.37458,0.273218
-19.8997,-7.27425,0.26272
-19.8997,-7.17391,0.248633
-19.8997,-7.07358,0.231353
-19.8997,-6.97324,0.211395
-19.8997,-6.87291,0.189392
-19.8997,-6.77258,0.166058
-19.8997,-6.67224,0.142182
-19.8997,-6.57191,0.1186
-19.8997,-6.47157,0.0961728
-19.8997,-6.37124,0.0757543
-19.8997,-6.2709,0.0581584
-19.8997,-6.17057,0.0441234
-19.8997,-6.07023,0.0342828
-19.8997,-5.9699,0.0291246
-19.8997,-5.86957,0.0289665
-19.8997,-5.76923,0.0339272
-19.8997,-5.6689,0.0439169
-19.8997,-5.56856,0.0586272
-19.8997,-5.46823,0.0775295
-19.8997,-5.36789,0.0999141
-19.8997,-5.26756,0.124886
-19.8997,-5.16722,0.151432
-19.8997,-5.06689,0.178437
-19.8997,-4.96656,0.204742
-19.8997,-4.86622,0.229206
-19.8997,-4.76589,0.25074
-19.8997,-4.66555,0.268366
-19.8997,-4.56522,0.281248
-19.8997,-4.46488,0.288762
-19.8997,-4.36455,0.290506
-19.8997,-4.26421,0.286326
-19.8997,-4.16388,0.276351
-19.8997,-4.06355,0.260967
-19.8997,-3.96321,0.240828
-19.8997,-3.86288,0.216823
-19.8997,-3.76254,0.190028
-19.8997,-3.66221,0.161656
-19.8997,-3.56187,0.132992
-19.8997,-3.46154,0.105315
-19.8997,-3.3612,0.0798213
-19.8997,-3.26087,0.0575488
-19.8997,-3.16054,0.0393152
-19.8997,-3.0602,0.0256623
-19.8997,-2.95987,0.0168233
-19.8997,-2.85953,0.0127149
-19.8997,-2.7592,0.0129461
-19.8997,-2.65886,0.0168561
-19.8997,-2.55853,0.0235687
-19.8997,-2.45819,0.0320667
-19.8997,-2.35786,0.0412704
-19.8997,-2.25753,0.0501274
-19.8997,-2.15719,0.057696
-19.8997,-2.05686,0.0632091
-19.8997,-1.95652,0.0661352
-19.8997,-1.85619,0.0662105
-19.8997,-1.75585,0.0634456
-19.8997,-1.65552,0.0581163
-19.8997,-1.55518,0.0507245
-19.8997,-1.45485,0.0419472
-19.8997,-1.35452,0.0325741
-19.8997,-1.25418,0.0234418
-19.8997,-1.15385,0.0153734
-19.8997,-1.05351,0.00912555
-19.8997,-0.953177,0.00535472
-19.8997,-0.852843,0.00459582
-19.8997,-0.752508,0.0072612
-19.8997,-0.652174,0.0136527
-19.8997,-0.551839,0.0239733
-19.8997,-0.451505,0.0399897
-19.8997,-0.351171,0.0572697
-19.8997,-0.250836,0.0785191
-19.8997,-0.150502,0.105422
-19.8997,-0.0501672,0.136455
-19.8997,0.0501672,0.169168
-19.8997,0.150502,0.209944
-19.8997,0.250836,0.243104
-19.8997,0.351171,0.280107
-19.8997,0.451505,0.322123
-19.8997,0.551839,0.358531
-19.8997,0.652174,0.389289
-19.8997,0.752508,0.418326
-19.8997,0.852843,0.436523
-19.8997,0.953177,0.449909
-19.8997,1.05351,0.450868
